series,signal_type,n_short,n_long,kappa,n_fires,n_fires_deduped,fire_rate_pct,tp_rate,fp_rate,avg_fwd_5d,avg_fwd_10d,avg_fwd_20d,avg_fwd_maxdd_20,avg_fwd_maxdd_40,median_fwd_maxdd_20
Portfolio,VR+R5<0,5,50,1.5,249,57.0,11.007957559681698,0.3333333333333333,0.6666666666666666,0.5779771893721078,0.9434265228528141,2.2048333422294184,-3.939885515761045,-5.607017954012132,-2.603002843793712
Portfolio,VR_only,5,50,1.5,415,65.0,18.346595932802828,0.327710843373494,0.672289156626506,0.4876334451198004,1.0320099360705424,1.7141748679205961,-3.8839620863861577,-5.507249722708838,-2.2990300529988708
Portfolio,VR+R5<0,5,50,1.75,190,45.0,8.399646330680813,0.32105263157894737,0.6789473684210526,0.5284499193090294,1.10565315097807,2.443111817049806,-4.005988593639382,-5.688386182167922,-2.4630902338670553
Portfolio,VR_only,5,50,1.75,303,54.0,13.395225464190982,0.3234323432343234,0.6765676567656765,0.42943508080763243,1.1688781580359506,1.8428935638795674,-3.928673679198565,-5.615183529857472,-2.404645765464869
Portfolio,VR+R5<0,5,50,2.0,148,38.0,6.542882404951371,0.32432432432432434,0.6756756756756757,0.7049376263408492,1.2845725037386952,2.4178606060608647,-3.932047432199032,-5.83805696262326,-2.631982271322253
Portfolio,VR_only,5,50,2.0,230,47.0,10.167992926613616,0.3130434782608696,0.6869565217391305,0.5772310170887471,1.3360998242963262,2.0270930416480417,-3.8046677820594885,-5.605234232871374,-2.2156718224898304
Portfolio,VR+R5<0,5,50,2.25,111,33.0,4.907161803713528,0.3333333333333333,0.6666666666666666,0.6932121827246079,1.2584790167174338,2.557301367406706,-4.060192919812435,-6.158458394639962,-2.6856866901181413
Portfolio,VR_only,5,50,2.25,165,39.0,7.294429708222812,0.3090909090909091,0.6909090909090909,0.6098858746375341,1.4404108769658068,2.258872020361763,-3.6967321452372075,-5.7309947621617505,-2.404645765464869
Portfolio,VR+R5<0,5,50,2.5,80,28.0,3.5366931918656057,0.275,0.725,0.9414252459158883,1.5679826418805796,3.225740429454839,-3.504803480281049,-5.727154116867457,-2.157696997554743
Portfolio,VR_only,5,50,2.5,119,33.0,5.260831122900089,0.2605042016806723,0.7394957983193278,0.7042017473734591,1.5866900184134687,2.556731357041169,-3.327319670158999,-5.52134482110355,-1.7104799414093017
Portfolio,VR+R5<0,5,50,3.0,39,18.0,1.7241379310344827,0.1794871794871795,0.8205128205128205,0.7034644024049275,1.12238957061559,3.984740712854587,-2.8203399996040055,-4.692087782387723,-0.9129199366429036
Portfolio,VR_only,5,50,3.0,62,22.0,2.7409372236958442,0.16129032258064516,0.8387096774193549,0.5303971501022134,1.2921295719055372,2.9350194825518092,-2.7560732421943186,-4.787556008296927,-1.2010886050832674
Portfolio,VR+R5<0,5,50,3.5,20,10.0,0.8841732979664014,0.15,0.85,0.8768889719697526,1.9945090994268266,5.45149327520462,-1.9753598820674363,-3.329927545569834,-0.6681530405185511
Portfolio,VR_only,5,50,3.5,34,12.0,1.5030946065428823,0.11764705882352941,0.8823529411764706,0.5550383091396793,2.0658021930774457,3.8340580652608147,-2.0414586414497253,-3.938406347982143,-1.039300178217775
Portfolio,VR+R5<0,5,50,4.0,13,6.0,0.5747126436781609,0.15384615384615385,0.8461538461538461,0.4696654651170153,1.2607681010007163,5.3785157022002235,-2.026726706067404,-2.8089400321836715,-0.4233861443941986
Portfolio,VR_only,5,50,4.0,21,8.0,0.9283819628647214,0.09523809523809523,0.9047619047619048,0.12780616195972253,1.6868367589103643,3.654632099642713,-2.0090912657868816,-3.758713109348366,-1.1112069865799235
Portfolio,VR+R5<0,5,100,1.5,235,48.0,10.389036251105217,0.3574468085106383,0.6425531914893617,0.6512356674177701,0.7317607284861026,1.8915973967305382,-4.522524514455959,-6.371645164254951,-3.703428067275364
Portfolio,VR_only,5,100,1.5,384,56.0,16.976127320954905,0.3854166666666667,0.6145833333333334,0.506493050994711,0.752862688361245,1.208315926909972,-4.632893089919415,-6.363850479122831,-3.5203418060867575
Portfolio,VR+R5<0,5,100,1.75,198,43.0,8.753315649867375,0.35858585858585856,0.6414141414141414,0.6262008458672946,0.8657454615798519,2.144660316558925,-4.498459824149366,-6.1604912757371855,-3.531193692408702
Portfolio,VR_only,5,100,1.75,301,48.0,13.306808134394341,0.38870431893687707,0.6112956810631229,0.4548791782471353,0.894159055841516,1.3965424544217464,-4.643827900397699,-6.410802781304244,-3.6037103992273725
Portfolio,VR+R5<0,5,100,2.0,158,40.0,6.984969053934571,0.37341772151898733,0.6265822784810127,0.4056023092173384,0.7163882501466654,2.0323583530765683,-4.622515541896888,-6.2783476847660555,-3.746962671569022
Portfolio,VR_only,5,100,2.0,239,41.0,10.565870910698496,0.401673640167364,0.5983263598326359,0.27799578463024643,0.7587643685065913,1.3107789197936945,-4.760241829704202,-6.557315920518889,-3.8018775929815014
