date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2019-10-01,100000.0,100000.0,100.0,0.0,0,33.26,100000.0,95030.66746843056,treasury_bonds,IEI,0.0,0.0,False,,0.0,0,100,0.1
2019-10-02,99922.03898050975,0.0,0.0,99922.03898050975,28,32.83,98707.1557426338,95085.5381840048,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2019-10-03,99019.81117489368,0.0,0.0,99019.81117489368,28,32.26,96993.38544798557,95154.38965724593,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-04,99206.78082190885,0.0,0.0,99206.78082190885,28,32.54,97835.2375225496,95229.25435959111,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-07,101040.2133056863,0.0,0.0,101040.2133056863,28,32.98,99158.14792543596,95308.47865303668,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-08,100668.27767191906,0.0,0.0,100668.27767191906,28,32.83,98707.1557426338,95386.65063138906,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-09,99612.75131048501,0.0,0.0,99612.75131048501,28,32.33,97203.84846662657,95478.20204449791,treasury_bonds,IEI,0.0,0.0,True,True,98.4512657790582,36,100,0.1
2019-10-10,100772.01282863811,0.0,0.0,100772.01282863811,28,32.6,98015.63439567048,95583.73421527361,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-11,101367.3322785679,0.0,0.0,101367.3322785679,28,32.84,98737.22188815396,95675.58628983765,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-14,101600.54716688322,0.0,0.0,101600.54716688322,28,33.21,99849.66927239929,95763.07877330127,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-15,101683.93097340735,0.0,0.0,101683.93097340735,28,33.17,99729.40469031871,95855.3818400481,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-16,102425.73955327994,0.0,0.0,102425.73955327994,28,33.46,100601.32291040289,95942.27300060133,treasury_bonds,IEI,0.0,0.0,True,True,98.4512657790582,36,100,0.1
2019-10-17,102999.42451238268,0.0,0.0,102999.42451238268,28,33.39,100390.85989176188,96031.11846061336,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-18,103936.5363717394,0.0,0.0,103936.5363717394,28,33.52,100781.71978352377,96127.78111846063,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-21,104281.7884208405,0.0,0.0,104281.7884208405,28,33.39,100390.85989176188,96213.77029464822,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-22,104557.3741702725,0.0,0.0,104557.3741702725,28,33.62,101082.3812387252,96294.19723391463,treasury_bonds,IEI,0.0,0.0,False,,98.4512657790582,36,100,0.1
2019-10-23,103071.04324359632,0.0,0.0,103071.04324359632,28,33.52,100781.71978352377,96371.0162357186,treasury_bonds,IEI,0.0,0.0,True,True,109.02984584460197,40,100,0.1
2019-10-24,103795.65132625437,0.0,0.0,103795.65132625437,28,33.58,100962.11665664463,96447.08358388455,treasury_bonds,IEI,0.0,0.0,False,,109.02984584460197,40,100,0.1
2019-10-25,104867.37062191416,0.0,0.0,104867.37062191416,28,33.69,101292.8442573662,96523.60192423331,treasury_bonds,IEI,0.0,0.0,False,,109.02984584460197,40,100,0.1
2019-10-28,104155.20304250892,0.0,0.0,104155.20304250892,28,33.83,101713.77029464823,96602.6758869513,treasury_bonds,IEI,0.0,0.0,False,,109.02984584460197,40,100,0.1
2019-10-29,104425.80031462578,0.0,0.0,104425.80031462578,28,34.01,102254.96091401082,96684.1551413109,treasury_bonds,IEI,0.0,0.0,False,,109.02984584460197,40,100,0.1
2019-10-30,104126.66530457807,0.0,0.0,104126.66530457807,28,34.01,102254.96091401082,96762.47745039086,treasury_bonds,IEI,0.0,0.0,True,True,127.51514976050034,46,100,0.1
2019-10-31,103420.08690833107,0.0,0.0,103420.08690833107,28,34.1,102525.55622369213,96837.64281419123,treasury_bonds,IEI,0.0,0.0,False,,127.51514976050034,46,100,0.1
2019-11-01,103174.04725066465,0.0,0.0,103174.04725066465,28,33.98,102164.7624774504,96914.46181599521,treasury_bonds,IEI,0.0,0.0,False,,127.51514976050034,46,100,0.1
2019-11-04,103865.09365341492,0.0,0.0,103865.09365341492,28,34.34,103247.1437161756,96987.67288033674,treasury_bonds,IEI,0.0,0.0,False,,127.51514976050034,46,100,0.1
2019-11-05,102841.42312817177,0.0,0.0,102841.42312817177,28,34.46,103607.93746241732,97065.8448586891,treasury_bonds,IEI,0.0,0.0,False,,127.51514976050034,46,100,0.1
2019-11-06,102235.31438772884,0.0,0.0,102235.31438772884,28,34.4,103427.54058929646,97143.2651834035,treasury_bonds,IEI,0.0,0.0,True,True,141.26105443433346,52,100,0.1
2019-11-07,102145.18683616252,0.0,0.0,102145.18683616252,28,34.38,103367.40829825617,97221.58749248348,treasury_bonds,IEI,0.0,0.0,False,,141.26105443433346,52,100,0.1
2019-11-08,101154.1724342659,0.0,0.0,101154.1724342659,28,34.5,103728.20204449791,97297.20384846663,treasury_bonds,IEI,0.0,0.0,False,,141.26105443433346,52,100,0.1
2019-11-11,101635.84813030435,0.0,0.0,101635.84813030435,28,34.6,104028.86349969935,97375.0751653638,treasury_bonds,IEI,0.0,0.0,False,,141.26105443433346,52,100,0.1
2019-11-12,102219.52037038158,0.0,0.0,102219.52037038158,28,34.56,103908.59891761877,97454.29945880939,treasury_bonds,IEI,0.0,0.0,False,,141.26105443433346,52,100,0.1
2019-11-13,102994.82386960226,0.0,0.0,102994.82386960226,27,34.6,104028.86349969935,97527.36019242335,treasury_bonds,IEI,0.0,0.0,True,True,148.61054513368057,55,100,0.1
2019-11-14,103318.7848446548,0.0,0.0,103318.7848446548,27,34.64,104149.12808177991,97596.81298857488,treasury_bonds,IEI,0.0,0.0,False,,148.61054513368057,55,100,0.1
2019-11-15,103712.83509901635,0.0,0.0,103712.83509901635,27,34.65,104179.19422730006,97670.02405291643,treasury_bonds,IEI,0.0,0.0,False,,148.61054513368057,55,100,0.1
2019-11-18,103843.60370643005,0.0,0.0,103843.60370643005,27,34.93,105021.0463018641,97739.77751052316,treasury_bonds,IEI,0.0,0.0,False,,148.61054513368057,55,100,0.1
2019-11-19,104370.12462365392,0.0,0.0,104370.12462365392,27,34.93,105021.0463018641,97807.87733012627,treasury_bonds,IEI,0.0,0.0,False,,148.61054513368057,55,100,0.1
2019-11-20,104864.83435472529,0.0,0.0,104864.83435472529,28,34.96,105111.24473842455,97874.77450390861,treasury_bonds,IEI,0.0,0.0,True,True,155.3243274452662,58,100,0.1
2019-11-21,104467.64604011671,0.0,0.0,104467.64604011671,28,34.84,104750.45099218281,97944.52796151536,treasury_bonds,IEI,0.0,0.0,False,,155.3243274452662,58,100,0.1
2019-11-22,103656.81796799725,0.0,0.0,103656.81796799725,28,34.76,104509.92182802166,98015.48406494288,treasury_bonds,IEI,0.0,0.0,False,,155.3243274452662,58,100,0.1
2019-11-25,103804.32456799762,0.0,0.0,103804.32456799762,28,34.87,104840.64942874323,98090.49909801563,treasury_bonds,IEI,0.0,0.0,False,,155.3243274452662,58,100,0.1
2019-11-26,105914.27464181505,0.0,0.0,105914.27464181505,28,35.19,105802.76608538786,98160.7035478052,treasury_bonds,IEI,0.0,0.0,False,,155.3243274452662,58,100,0.1
2019-11-27,107368.15943766141,0.0,0.0,107368.15943766141,26,35.24,105953.09681298859,98231.96031268792,treasury_bonds,IEI,0.0,0.0,True,True,182.54228991082468,68,100,0.1
