date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2019-10-01,100000.0,100000.0,100.0,0.0,0,33.26,100000.0,95030.66746843056,treasury_bonds,IEI,0.0,0.0,False,,0.0,0,100,0.1
2019-10-02,99922.03898050975,0.0,0.0,99922.03898050975,28,32.83,98707.1557426338,95085.5381840048,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2019-10-03,99019.90822236269,0.0,0.0,99019.90822236269,28,32.26,96993.38544798557,95154.38965724593,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-04,99206.94619600655,0.0,0.0,99206.94619600655,28,32.54,97835.2375225496,95229.25435959111,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-07,101044.09849250266,0.0,0.0,101044.09849250266,28,32.98,99158.14792543596,95308.47865303668,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-08,100667.14199356234,0.0,0.0,100667.14199356234,28,32.83,98707.1557426338,95386.65063138906,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-09,99632.01991803241,0.0,0.0,99632.01991803241,28,32.33,97203.84846662657,95478.20204449791,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2019-10-10,101023.56052858743,0.0,0.0,101023.56052858743,28,32.6,98015.63439567048,95583.73421527361,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-11,101630.11528434885,0.0,0.0,101630.11528434885,28,32.84,98737.22188815396,95675.58628983765,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-14,102015.68106779063,0.0,0.0,102015.68106779063,28,33.21,99849.66927239929,95763.07877330127,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-15,101724.24095890073,0.0,0.0,101724.24095890073,28,33.17,99729.40469031871,95855.3818400481,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-16,102557.92195158477,0.0,0.0,102557.92195158477,28,33.46,100601.32291040289,95942.27300060133,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2019-10-17,103009.67136830858,0.0,0.0,103009.67136830858,28,33.39,100390.85989176188,96031.11846061336,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-18,104025.57990864331,0.0,0.0,104025.57990864331,28,33.52,100781.71978352377,96127.78111846063,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-21,104465.60692836744,0.0,0.0,104465.60692836744,28,33.39,100390.85989176188,96213.77029464822,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-22,104973.2155522397,0.0,0.0,104973.2155522397,28,33.62,101082.3812387252,96294.19723391463,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-23,103315.63633926102,0.0,0.0,103315.63633926102,28,33.52,100781.71978352377,96371.0162357186,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2019-10-24,104427.24775110166,0.0,0.0,104427.24775110166,28,33.58,100962.11665664463,96447.08358388455,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-25,105338.055713343,0.0,0.0,105338.055713343,28,33.69,101292.8442573662,96523.60192423331,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-28,104686.07245560932,0.0,0.0,104686.07245560932,28,33.83,101713.77029464823,96602.6758869513,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-29,105065.81522315029,0.0,0.0,105065.81522315029,28,34.01,102254.96091401082,96684.1551413109,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2019-10-30,104863.24392993678,0.0,0.0,104863.24392993678,29,34.01,102254.96091401082,96762.47745039086,treasury_bonds,IEI,0.0,0.0,True,True,83.72176166408556,31,100,0.1
2019-10-31,104973.98038834376,0.0,0.0,104973.98038834376,29,34.1,102525.55622369213,96837.64281419123,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-01,104679.15571859464,0.0,0.0,104679.15571859464,29,33.98,102164.7624774504,96914.46181599521,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-04,105479.08143289133,0.0,0.0,105479.08143289133,29,34.34,103247.1437161756,96987.67288033674,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-05,104273.28348051406,0.0,0.0,104273.28348051406,29,34.46,103607.93746241732,97065.8448586891,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-06,103655.41073840046,0.0,0.0,103655.41073840046,29,34.4,103427.54058929646,97143.2651834035,treasury_bonds,IEI,0.0,0.0,True,True,83.72176166408556,31,100,0.1
2019-11-07,103760.27319891972,0.0,0.0,103760.27319891972,29,34.38,103367.40829825617,97221.58749248348,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-08,102849.42721745737,0.0,0.0,102849.42721745737,29,34.5,103728.20204449791,97297.20384846663,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-11,103278.03872372163,0.0,0.0,103278.03872372163,29,34.6,104028.86349969935,97375.0751653638,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-12,103717.93807364532,0.0,0.0,103717.93807364532,29,34.56,103908.59891761877,97454.29945880939,treasury_bonds,IEI,0.0,0.0,False,,83.72176166408556,31,100,0.1
2019-11-13,104343.30570253426,0.0,0.0,104343.30570253426,29,34.6,104028.86349969935,97527.36019242335,treasury_bonds,IEI,0.0,0.0,True,True,97.39008639527786,36,100,0.1
2019-11-14,104983.18539531836,0.0,0.0,104983.18539531836,29,34.64,104149.12808177991,97596.81298857488,treasury_bonds,IEI,0.0,0.0,False,,97.39008639527786,36,100,0.1
2019-11-15,105268.75956950375,0.0,0.0,105268.75956950375,29,34.65,104179.19422730006,97670.02405291643,treasury_bonds,IEI,0.0,0.0,False,,97.39008639527786,36,100,0.1
2019-11-18,105305.01707703159,0.0,0.0,105305.01707703159,29,34.93,105021.0463018641,97739.77751052316,treasury_bonds,IEI,0.0,0.0,False,,97.39008639527786,36,100,0.1
2019-11-19,105752.95501989793,0.0,0.0,105752.95501989793,29,34.93,105021.0463018641,97807.87733012627,treasury_bonds,IEI,0.0,0.0,False,,97.39008639527786,36,100,0.1
2019-11-20,106500.30363919602,0.0,0.0,106500.30363919602,28,34.96,105111.24473842455,97874.77450390861,treasury_bonds,IEI,0.0,0.0,True,True,121.35065960626085,45,100,0.1
2019-11-21,106083.2001269561,0.0,0.0,106083.2001269561,28,34.84,104750.45099218281,97944.52796151536,treasury_bonds,IEI,0.0,0.0,False,,121.35065960626085,45,100,0.1
2019-11-22,105136.15147368026,0.0,0.0,105136.15147368026,28,34.76,104509.92182802166,98015.48406494288,treasury_bonds,IEI,0.0,0.0,False,,121.35065960626085,45,100,0.1
2019-11-25,105172.82171767407,0.0,0.0,105172.82171767407,28,34.87,104840.64942874323,98090.49909801563,treasury_bonds,IEI,0.0,0.0,False,,121.35065960626085,45,100,0.1
2019-11-26,107444.35469624064,0.0,0.0,107444.35469624064,28,35.19,105802.76608538786,98160.7035478052,treasury_bonds,IEI,0.0,0.0,False,,121.35065960626085,45,100,0.1
2019-11-27,108973.93611893237,0.0,0.0,108973.93611893237,28,35.24,105953.09681298859,98231.96031268792,treasury_bonds,IEI,0.0,0.0,True,True,137.99497496326285,51,100,0.1
