date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2017-02-01,99921.04358564505,8.214875687196127,0.008221366983777479,99912.82870995786,29,24.51,100000.0,93522.64381884942,cash,,0.0,0.008221366983777479,True,True,78.95641435497892,29,100,0.1
2017-02-02,100985.0190212243,8.214875687196127,0.008134746883069442,100976.80414553711,29,24.56,100203.99836801304,93574.25540595675,cash,,0.0,0.008134746883069442,False,,78.95641435497892,29,100,0.1
2017-02-03,100561.49510515854,8.214875687196127,0.008169007112121512,100553.28022947135,29,24.54,100122.39902080782,93627.49898000815,cash,,0.0,0.008169007112121512,False,,78.95641435497892,29,100,0.1
2017-02-06,102745.00793617191,8.214875687196127,0.007995401287330124,102736.79306048472,29,24.71,100815.99347205221,93683.19053447573,cash,,0.0,0.007995401287330124,False,,78.95641435497892,29,100,0.1
2017-02-07,102338.75570760804,8.214875687196127,0.008027140481038132,102330.54083192085,29,24.69,100734.394124847,93737.86209710322,cash,,0.0,0.008027140481038132,False,,78.95641435497892,29,100,0.1
2017-02-08,101899.80779801401,8.278160212472358,0.008123823186086222,101891.52963780153,29,24.64,100530.39575683394,93794.77764177884,cash,,0.0,0.008123823186086222,True,True,84.74112570136836,32,100,0.1
2017-02-09,100761.71698447982,8.278160212472358,0.008215580738612692,100753.43882426734,29,24.68,100693.59445124437,93853.12117503061,cash,,0.0,0.008215580738612692,False,,84.74112570136836,32,100,0.1
2017-02-10,102169.46456405295,8.278160212472358,0.008102381908131213,102161.18640384047,29,24.85,101387.1889024888,93914.52468380252,cash,,0.0,0.008102381908131213,False,,84.74112570136836,32,100,0.1
2017-02-13,102669.71786770607,8.278160212472358,0.008062903438713145,102661.4397074936,29,24.94,101754.38596491229,93982.25214198284,cash,,0.0,0.008062903438713145,False,,84.74112570136836,32,100,0.1
2017-02-14,103718.24040372246,8.278160212472358,0.007981392839147368,103709.96224350999,29,25.11,102447.98041615666,94055.48755609954,cash,,0.0,0.007981392839147368,False,,84.74112570136836,32,100,0.1
2017-02-15,104406.26117641991,7.490338727521248,0.0071742236941752845,104398.77083769238,29,25.15,102611.1791105671,94124.03100775194,cash,,0.0,0.0071742236941752845,True,True,89.77222734144591,34,100,0.1
2017-02-16,105344.30299590123,7.490338727521248,0.007110340582739139,105336.81265717371,29,25.28,103141.57486740105,94197.67441860466,cash,,0.0,0.007110340582739139,False,,89.77222734144591,34,100,0.1
2017-02-17,104572.3012840244,7.490338727521248,0.007162832447549428,104564.81094529688,29,25.23,102937.576499388,94273.76580987353,cash,,0.0,0.007162832447549428,False,,89.77222734144591,34,100,0.1
2017-02-21,104650.80862340325,7.490338727521248,0.00715745900681571,104643.31828467573,29,25.24,102978.3761729906,94355.77315381476,cash,,0.0,0.00715745900681571,False,,89.77222734144591,34,100,0.1
2017-02-22,105591.21306353371,7.490338727521248,0.007093714060292449,105583.72272480618,29,25.49,103998.3680130559,94435.74051407588,cash,,0.0,0.007093714060292449,True,True,89.77222734144591,34,100,0.1
2017-02-23,105291.40574840964,7.490338727521248,0.007113912739867076,105283.91540968211,29,25.44,103794.36964504283,94513.25989392084,cash,,0.0,0.007113912739867076,False,,89.77222734144591,34,100,0.1
2017-02-24,105056.25820334519,7.490338727521248,0.007129835819036187,105048.76786461766,29,25.39,103590.37127702977,94584.25132598939,cash,,0.0,0.007129835819036187,False,,89.77222734144591,34,100,0.1
2017-02-27,104370.8635543257,7.490338727521248,0.007176656848893925,104363.37321559817,29,25.34,103386.3729090167,94663.19869441043,cash,,0.0,0.007176656848893925,False,,89.77222734144591,34,100,0.1
2017-02-28,105080.63088286703,7.490338727521248,0.007128182106054064,105073.1405441395,29,25.52,104120.76703386373,94740.10607915136,cash,,0.0,0.007128182106054064,False,,89.77222734144591,34,100,0.1
2017-03-01,103713.7009178373,6.980457682929227,0.00673050679047621,103706.72046015436,29,25.4,103631.1709506324,94828.02937576499,cash,,0.0,0.00673050679047621,True,True,99.54008515190314,38,100,0.1
2017-03-02,107089.36064210333,6.980457682929227,0.006518348453174708,107082.3801844204,29,25.78,105181.55854753162,94906.97674418605,cash,,0.0,0.006518348453174708,False,,99.54008515190314,38,100,0.1
2017-03-03,104468.8651528341,6.980457682929227,0.006681854610669958,104461.88469515117,29,25.59,104406.364749082,94991.22807017542,cash,,0.0,0.006681854610669958,False,,99.54008515190314,38,100,0.1
2017-03-06,105067.16351252838,6.980457682929227,0.006643805209509502,105060.18305484545,29,25.61,104487.96409628722,95074.25540595675,cash,,0.0,0.006643805209509502,False,,99.54008515190314,38,100,0.1
2017-03-07,104604.00901805541,6.980457682929227,0.006673221942883995,104597.02856037248,29,25.47,103916.76866585067,95156.05875152998,cash,,0.0,0.006673221942883995,False,,99.54008515190314,38,100,0.1
2017-03-08,103985.49245821149,8.07022163934289,0.007760911112274685,103977.42223657215,29,25.45,103835.16931864545,95235.41411668707,cash,,0.0,0.007760911112274685,True,True,106.4211723365638,41,100,0.1
2017-03-09,103039.16874473354,8.07022163934289,0.007832188222845468,103031.0985230942,29,25.43,103753.56997144023,95310.89351285188,cash,,0.0,0.007832188222845468,False,,106.4211723365638,41,100,0.1
2017-03-10,102411.10222296826,8.07022163934289,0.007880221444909848,102403.03200132892,29,25.28,103141.57486740105,95384.12892696857,cash,,0.0,0.007880221444909848,False,,106.4211723365638,41,100,0.1
2017-03-13,102061.46669441658,8.07022163934289,0.007907216994545094,102053.39647277724,29,25.42,103712.7702978376,95453.69237046104,cash,,0.0,0.007907216994545094,False,,106.4211723365638,41,100,0.1
2017-03-14,102665.85943975333,8.07022163934289,0.007860667298147618,102657.78921811399,29,25.44,103794.36964504283,95521.01183190534,cash,,0.0,0.007860667298147618,False,,106.4211723365638,41,100,0.1
2017-03-15,101730.66194124857,7.031270836773729,0.006911653480476145,101723.6306704118,27,25.32,103304.7735618115,95592.4112607099,cash,,0.0,0.006911653480476145,True,True,133.0570198441202,51,100,0.1
2017-03-16,102196.02577389538,7.031270836773729,0.006880180304007256,102188.99450305861,27,25.57,104324.76540187678,95664.42268461852,cash,,0.0,0.006880180304007256,False,,133.0570198441202,51,100,0.1
2017-03-17,102919.53156305013,7.031270836773729,0.006831813874382299,102912.50029221336,27,25.55,104243.16605467157,95736.02611179108,cash,,0.0,0.006831813874382299,False,,133.0570198441202,51,100,0.1
2017-03-20,102564.55735222563,7.031270836773729,0.006855458667487878,102557.52608138886,27,25.61,104487.96409628722,95804.77356181151,cash,,0.0,0.006855458667487878,False,,133.0570198441202,51,100,0.1
2017-03-21,101764.38168206983,7.031270836773729,0.006909363296423968,101757.35041123306,27,25.49,103998.3680130559,95866.38106895144,cash,,0.0,0.006909363296423968,False,,133.0570198441202,51,100,0.1
2017-03-22,96929.04221535077,7.3472891134633755,0.00758006985887639,96921.69492623731,27,25.19,102774.37780497756,95926.3565891473,cash,,0.0,0.00758006985887639,True,True,180.44431987504942,68,100,0.1
2017-03-23,97169.11483006616,7.3472891134633755,0.00756134202345329,97161.7675409527,27,25.17,102692.77845777234,95984.70012239902,cash,,0.0,0.00756134202345329,False,,180.44431987504942,68,100,0.1
2017-03-24,98308.95064366091,7.3472891134633755,0.007473672605961377,98301.60335454745,27,25.15,102611.1791105671,96039.37168502652,cash,,0.0,0.007473672605961377,False,,180.44431987504942,68,100,0.1
2017-03-27,98819.45887065952,7.3472891134633755,0.0074350630912479706,98812.11158154607,27,25.06,102243.9820481436,96098.9392084863,cash,,0.0,0.0074350630912479706,False,,180.44431987504942,68,100,0.1
2017-03-28,98636.90157236213,7.3472891134633755,0.007448823915128,98629.55428324867,27,25.15,102611.1791105671,96164.4226846185,cash,,0.0,0.007448823915128,False,,180.44431987504942,68,100,0.1
2017-03-29,100050.85064316736,8.436489597046148,0.008432201768213842,100042.41415357031,28,25.29,103182.37454100365,96235.41411668705,cash,,0.0,0.008432201768213842,True,True,187.95939078634285,71,100,0.1
2017-03-30,99872.8422333509,8.436489597046148,0.00844723090721145,99864.40574375384,28,25.39,103590.37127702977,96310.28151774785,cash,,0.0,0.00844723090721145,False,,187.95939078634285,71,100,0.1
2017-03-31,101611.97137845494,8.436489597046148,0.008302653203749337,101603.53488885789,28,25.52,104120.76703386373,96381.0689514484,cash,,0.0,0.008302653203749337,False,,187.95939078634285,71,100,0.1
2017-04-03,101478.59922649853,8.436489597046148,0.008313565285046993,101470.16273690148,28,25.44,103794.36964504283,96454.50836393308,cash,,0.0,0.008313565285046993,False,,187.95939078634285,71,100,0.1
2017-04-04,100171.02584463145,8.436489597046148,0.008422085653920944,100162.5893550344,28,25.41,103671.97062423501,96526.51978784168,cash,,0.0,0.008422085653920944,False,,187.95939078634285,71,100,0.1
2017-04-05,100430.39226336581,8.969199663876395,0.008930762353646713,100421.42306370194,28,25.32,103304.7735618115,96593.02325581395,cash,,0.0,0.008930762353646713,True,True,194.01805072649,74,100,0.1
2017-04-06,98771.73422163678,8.969199663876395,0.009080735227094572,98762.76502197291,28,25.32,103304.7735618115,96660.34271725825,cash,,0.0,0.009080735227094572,False,,194.01805072649,74,100,0.1
2017-04-07,99924.86454809738,8.969199663876395,0.008975943779797872,99915.8953484335,28,25.35,103427.17258261933,96727.86617707058,cash,,0.0,0.008975943779797872,False,,194.01805072649,74,100,0.1
2017-04-10,100100.33034955448,8.969199663876395,0.008960209854009053,100091.36114989061,28,25.29,103182.37454100365,96790.49367605058,cash,,0.0,0.008960209854009053,False,,194.01805072649,74,100,0.1
2017-04-11,99821.21555950426,8.969199663876395,0.008985263917698718,99812.24635984038,28,25.32,103304.7735618115,96869.0330477356,cash,,0.0,0.008985263917698718,False,,194.01805072649,74,100,0.1
2017-04-12,100216.38581957221,8.392939717327408,0.00837481779919494,100207.99287985488,29,25.27,103100.77519379843,96952.67237862095,cash,,0.0,0.00837481779919494,True,True,213.03173943324384,81,100,0.1
2017-04-13,98757.73149895617,8.392939717327408,0.008498514080810086,98749.33855923884,29,25.21,102855.97715218278,97028.96776825786,cash,,0.0,0.008498514080810086,False,,213.03173943324384,81,100,0.1
2017-04-17,97421.9092976015,8.392939717327408,0.008615043348913344,97413.51635788416,29,25.11,102447.98041615666,97100.36719706243,cash,,0.0,0.008615043348913344,False,,213.03173943324384,81,100,0.1
2017-04-18,98298.80394307873,8.392939717327408,0.008538191087439329,98290.4110033614,29,25.28,103141.57486740105,97164.2186862505,cash,,0.0,0.008538191087439329,False,,213.03173943324384,81,100,0.1
2017-04-19,98070.74365088738,7.728651825491852,0.007880690548247842,98063.01499906188,26,25.2,102815.17747858015,97226.84618523052,cash,,0.0,0.007880690548247842,True,True,240.97639656987954,92,100,0.1
2017-04-20,98367.89371215609,7.728651825491852,0.007856884531966717,98360.16506033059,26,25.22,102896.77682578537,97297.63361893104,cash,,0.0,0.007856884531966717,False,,240.97639656987954,92,100,0.1
2017-04-21,99564.42976642348,7.728651825491852,0.007762462802853532,99556.70111459798,26,25.44,103794.36964504283,97364.95308037534,cash,,0.0,0.007762462802853532,False,,240.97639656987954,92,100,0.1
2017-04-24,99296.91381528982,7.728651825491852,0.007783375664492997,99289.18516346432,26,25.35,103427.17258261933,97437.16850265197,cash,,0.0,0.007783375664492997,False,,240.97639656987954,92,100,0.1
2017-04-25,101089.65422250744,7.728651825491852,0.007645344011643756,101081.92557068194,26,25.61,104487.96409628722,97505.71195430434,cash,,0.0,0.007645344011643756,False,,240.97639656987954,92,100,0.1
2017-04-26,102390.17011112352,7.427914813704319,0.007254519457915581,102382.74219630982,26,25.78,105181.55854753162,97571.60342717257,cash,,0.0,0.007254519457915581,True,True,246.12480040329035,94,100,0.1
2017-04-27,102224.21532536398,7.427914813704319,0.007266296728287331,102216.78741055029,26,25.74,105018.35985312116,97634.4349245206,cash,,0.0,0.007266296728287331,False,,246.12480040329035,94,100,0.1
2017-04-28,102977.56062647901,7.427914813704319,0.0072131392203461766,102970.13271166531,26,25.76,105099.9592003264,97695.83843329253,cash,,0.0,0.0072131392203461766,False,,246.12480040329035,94,100,0.1
2017-05-01,102468.91095997592,7.427914813704319,0.007248944820547222,102461.48304516223,26,25.7,104855.16115871072,97756.62994696041,cash,,0.0,0.007248944820547222,False,,246.12480040329035,94,100,0.1
2017-05-02,103528.92749017039,7.427914813704319,0.007174724005915706,103521.49957535669,26,25.81,105303.95756833944,97817.21746226029,cash,,0.0,0.007174724005915706,False,,246.12480040329035,94,100,0.1
2017-05-03,102850.79635699405,7.945484181328993,0.007725252951615756,102842.85087281272,26,25.74,105018.35985312116,97874.13300693594,cash,,0.0,0.007725252951615756,True,True,268.02308639884814,102,100,0.1
2017-05-04,101779.68870708151,7.945484181328993,0.007806551859473481,101771.74322290019,26,25.65,104651.16279069766,97933.49653202773,cash,,0.0,0.007806551859473481,False,,268.02308639884814,102,100,0.1
2017-05-05,100795.71231634327,7.945484181328993,0.007882760088437505,100787.76683216194,26,25.71,104895.96083231334,97992.86005711954,cash,,0.0,0.007882760088437505,False,,268.02308639884814,102,100,0.1
2017-05-08,101817.44326237556,7.945484181328993,0.007803657140411691,101809.49777819423,26,25.88,105589.55528355771,98053.85556915545,cash,,0.0,0.007803657140411691,False,,268.02308639884814,102,100,0.1
2017-05-09,101644.60808830576,7.945484181328993,0.007816926377861773,101636.66260412443,26,25.82,105344.75724194206,98110.77111383107,cash,,0.0,0.007816926377861773,False,,268.02308639884814,102,100,0.1
