date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2020-02-03,100000.0,100000.0,100.0,0.0,0,36.2,100000.0,93138.9502762431,treasury_bonds,IEI,0.0,0.0,False,,0.0,0,100,0.1
2020-02-04,100000.0,100000.0,100.0,0.0,0,36.48,100773.48066298342,93203.72928176796,treasury_bonds,IEI,0.0,0.0,False,,0.0,0,100,0.1
2020-02-05,99922.03898050972,0.0,0.0,99922.03898050972,28,37.03,102292.81767955801,93273.34254143648,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2020-02-06,100418.78471067798,0.0,0.0,100418.78471067798,28,37.43,103397.79005524861,93340.05524861877,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2020-02-07,100592.05760118003,0.0,0.0,100592.05760118003,28,37.53,103674.03314917127,93404.55801104971,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2020-02-10,99134.24767383315,0.0,0.0,99134.24767383315,28,37.33,103121.54696132596,93474.03314917126,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2020-02-11,100894.88196800229,0.0,0.0,100894.88196800229,28,37.62,103922.65193370165,93542.54143646409,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2020-02-12,102069.29032315165,0.0,0.0,102069.29032315165,28,37.7,104143.64640883978,93613.81215469613,treasury_bonds,IEI,0.0,0.0,True,True,77.96101949025487,28,100,0.1
2020-02-13,103260.49525013403,0.0,0.0,103260.49525013403,28,37.94,104806.62983425413,93683.97790055246,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
2020-02-14,103397.6586811286,0.0,0.0,103397.6586811286,28,37.9,104696.13259668507,93758.01104972375,treasury_bonds,IEI,0.0,0.0,False,,77.96101949025487,28,100,0.1
