date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2017-02-01,99921.0394802599,0.0,0.0,99921.0394802599,29,24.51,100000.0,93522.64381884942,cash,,0.0,0.0,True,True,78.96051974012994,29,100,0.1
2017-02-02,100986.44083131995,0.0,0.0,100986.44083131995,29,24.56,100203.99836801304,93574.25540595675,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-03,100561.34747189235,0.0,0.0,100561.34747189235,29,24.54,100122.39902080782,93627.49898000815,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-06,102745.06941038165,0.0,0.0,102745.06941038165,29,24.71,100815.99347205221,93683.19053447573,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-07,102340.06423367682,0.0,0.0,102340.06423367682,29,24.69,100734.394124847,93737.86209710322,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-08,101905.52331270081,0.0,0.0,101905.52331270081,29,24.64,100530.39575683394,93794.77764177884,cash,,0.0,0.0,True,True,78.96051974012994,29,100,0.1
2017-02-09,100823.48826062777,0.0,0.0,100823.48826062777,29,24.68,100693.59445124437,93853.12117503061,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-10,102179.42567842199,0.0,0.0,102179.42567842199,29,24.85,101387.1889024888,93914.52468380252,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-13,102710.11095955437,0.0,0.0,102710.11095955437,29,24.94,101754.38596491229,93982.25214198284,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-14,103706.1007014466,0.0,0.0,103706.1007014466,29,25.11,102447.98041615666,94055.48755609954,cash,,0.0,0.0,False,,78.96051974012994,29,100,0.1
2017-02-15,104349.0401937805,0.0,0.0,104349.0401937805,29,25.15,102611.1791105671,94124.03100775194,cash,,0.0,0.0,True,True,82.6046828847743,31,100,0.1
2017-02-16,105270.31147133475,0.0,0.0,105270.31147133475,29,25.28,103141.57486740105,94197.67441860466,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-17,104422.68222826159,0.0,0.0,104422.68222826159,29,25.23,102937.576499388,94273.76580987353,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-21,104560.28317668807,0.0,0.0,104560.28317668807,29,25.24,102978.3761729906,94355.77315381476,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-22,105680.35846890278,0.0,0.0,105680.35846890278,29,25.49,103998.3680130559,94435.74051407588,cash,,0.0,0.0,True,True,82.6046828847743,31,100,0.1
2017-02-23,105463.8507803273,0.0,0.0,105463.8507803273,29,25.44,103794.36964504283,94513.25989392084,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-24,105223.74573564483,0.0,0.0,105223.74573564483,29,25.39,103590.37127702977,94584.25132598939,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-27,104497.11419604337,0.0,0.0,104497.11419604337,29,25.34,103386.3729090167,94663.19869441043,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-02-28,105487.51781152422,0.0,0.0,105487.51781152422,29,25.52,104120.76703386373,94740.10607915136,cash,,0.0,0.0,False,,82.6046828847743,31,100,0.1
2017-03-01,104003.95429170846,0.0,0.0,104003.95429170846,30,25.4,103631.1709506324,94828.02937576499,cash,,0.0,0.0,True,True,88.88564486077222,34,100,0.1
2017-03-02,107539.00824748474,0.0,0.0,107539.00824748474,30,25.78,105181.55854753162,94906.97674418605,cash,,0.0,0.0,False,,88.88564486077222,34,100,0.1
2017-03-03,104692.60304964396,0.0,0.0,104692.60304964396,30,25.59,104406.364749082,94991.22807017542,cash,,0.0,0.0,False,,88.88564486077222,34,100,0.1
