date,portfolio_value,cash,cash_percentage,invested_value,positions,sptm_close,sptm_value,sptm_200dma_value,defensive_mode,defensive_symbol,defensive_value,reserve_percentage,strategy_ran,market_health,fees_paid_cumulative,trade_count,raw_rank_consideration_limit,max_position_fraction
2017-02-01,99821.26809785323,2.2737367544323206e-13,2.277807923861889e-16,99821.26809785323,29,24.51,100000.0,93522.64381884942,cash,,0.0,2.277807923861889e-16,True,True,178.73190214677984,29,100,0.1
2017-02-02,100885.94925125396,2.2737367544323206e-13,2.2537695004183737e-16,100885.94925125396,29,24.56,100203.99836801304,93574.25540595675,cash,,0.0,2.2537695004183737e-16,False,,178.73190214677984,29,100,0.1
2017-02-03,100461.96019490401,2.2737367544323206e-13,2.263281295747261e-16,100461.96019490401,29,24.54,100122.39902080782,93627.49898000815,cash,,0.0,2.263281295747261e-16,False,,178.73190214677984,29,100,0.1
2017-02-06,102643.9536590109,2.2737367544323206e-13,2.215168720006445e-16,102643.9536590109,29,24.71,100815.99347205221,93683.19053447573,cash,,0.0,2.215168720006445e-16,False,,178.73190214677984,29,100,0.1
2017-02-07,102241.25311481595,2.2737367544323206e-13,2.223893668320884e-16,102241.25311481595,29,24.69,100734.394124847,93737.86209710322,cash,,0.0,2.223893668320884e-16,False,,178.73190214677984,29,100,0.1
2017-02-08,101805.65590393958,2.2737367544323206e-13,2.233409071670579e-16,101805.65590393958,29,24.64,100530.39575683394,93794.77764177884,cash,,0.0,2.233409071670579e-16,True,True,178.73190214677984,29,100,0.1
2017-02-09,100723.38078598009,2.2737367544323206e-13,2.257407105172156e-16,100723.38078598009,29,24.68,100693.59445124437,93853.12117503061,cash,,0.0,2.257407105172156e-16,False,,178.73190214677984,29,100,0.1
2017-02-10,102077.82979527835,2.2737367544323206e-13,2.227454050495001e-16,102077.82979527835,29,24.85,101387.1889024888,93914.52468380252,cash,,0.0,2.227454050495001e-16,False,,178.73190214677984,29,100,0.1
2017-02-13,102607.50679968766,2.2737367544323206e-13,2.2159555624630402e-16,102607.50679968766,29,24.94,101754.38596491229,93982.25214198284,cash,,0.0,2.2159555624630402e-16,False,,178.73190214677984,29,100,0.1
2017-02-14,103602.39223850223,2.2737367544323206e-13,2.194675919449784e-16,103602.39223850223,29,25.11,102447.98041615666,94055.48755609954,cash,,0.0,2.194675919449784e-16,False,,178.73190214677984,29,100,0.1
2017-02-15,104242.02390357392,0.0,0.0,104242.02390357392,29,25.15,102611.1791105671,94124.03100775194,cash,,0.0,0.0,True,True,185.347800312625,31,100,0.1
2017-02-16,105159.6180811092,0.0,0.0,105159.6180811092,29,25.28,103141.57486740105,94197.67441860466,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-17,104310.34048285514,0.0,0.0,104310.34048285514,29,25.23,102937.576499388,94273.76580987353,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-21,104434.24740362486,0.0,0.0,104434.24740362486,29,25.24,102978.3761729906,94355.77315381476,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-22,105547.53908028737,0.0,0.0,105547.53908028737,29,25.49,103998.3680130559,94435.74051407588,cash,,0.0,0.0,True,True,185.347800312625,31,100,0.1
2017-02-23,105329.95362101668,0.0,0.0,105329.95362101668,29,25.44,103794.36964504283,94513.25989392084,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-24,105096.37859878165,0.0,0.0,105096.37859878165,29,25.39,103590.37127702977,94584.25132598939,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-27,104371.14182125636,0.0,0.0,104371.14182125636,29,25.34,103386.3729090167,94663.19869441043,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-02-28,105355.26900739451,0.0,0.0,105355.26900739451,29,25.52,104120.76703386373,94740.10607915136,cash,,0.0,0.0,False,,185.347800312625,31,100,0.1
2017-03-01,103864.77300211335,0.0,0.0,103864.77300211335,30,25.4,103631.1709506324,94828.02937576499,cash,,0.0,0.0,True,True,198.1808580969063,34,100,0.1
2017-03-02,107387.47938429556,0.0,0.0,107387.47938429556,30,25.78,105181.55854753162,94906.97674418605,cash,,0.0,0.0,False,,198.1808580969063,34,100,0.1
2017-03-03,104548.36190043701,0.0,0.0,104548.36190043701,30,25.59,104406.364749082,94991.22807017542,cash,,0.0,0.0,False,,198.1808580969063,34,100,0.1
2017-03-06,104882.72974833296,0.0,0.0,104882.72974833296,30,25.61,104487.96409628722,95074.25540595675,cash,,0.0,0.0,False,,198.1808580969063,34,100,0.1
2017-03-07,104454.02196468801,0.0,0.0,104454.02196468801,30,25.47,103916.76866585067,95156.05875152998,cash,,0.0,0.0,False,,198.1808580969063,34,100,0.1
2017-03-08,103993.3988585236,1.1368683772161603e-13,1.0932120593181086e-16,103993.3988585236,30,25.45,103835.16931864545,95235.41411668707,cash,,0.0,1.0932120593181086e-16,True,True,212.81412602570666,37,100,0.1
2017-03-09,103029.54551734177,1.1368683772161603e-13,1.1034391848547992e-16,103029.54551734177,30,25.43,103753.56997144023,95310.89351285188,cash,,0.0,1.1034391848547992e-16,False,,212.81412602570666,37,100,0.1
2017-03-10,102457.46214860122,1.1368683772161603e-13,1.1096003681676992e-16,102457.46214860122,30,25.28,103141.57486740105,95384.12892696857,cash,,0.0,1.1096003681676992e-16,False,,212.81412602570666,37,100,0.1
2017-03-13,102326.91625354443,1.1368683772161603e-13,1.1110159661210166e-16,102326.91625354443,30,25.42,103712.7702978376,95453.69237046104,cash,,0.0,1.1110159661210166e-16,False,,212.81412602570666,37,100,0.1
2017-03-14,103019.86850270654,1.1368683772161603e-13,1.1035428347360902e-16,103019.86850270654,30,25.44,103794.36964504283,95521.01183190534,cash,,0.0,1.1035428347360902e-16,False,,212.81412602570666,37,100,0.1
2017-03-15,102075.29257819374,4.547473508864641e-13,4.4550188336527135e-16,102075.29257819374,30,25.32,103304.7735618115,95592.4112607099,cash,,0.0,4.4550188336527135e-16,True,True,223.41469404443646,39,100,0.1
